ligand	receptor
FN1	ITGB3
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	MAG
FN1	NT5E
FN1	PLAUR
FN1	ROBO4
FN1	SDC2
FN1	TMPRSS6
FN1	TNFRSF11B
FN1	TSHR
FSHB	ADCYAP1R1
FSHB	ADRB2
FSHB	ADRB3
FSHB	FSHR
FSHB	GPR20
FSHB	GPR84
FSHB	PTH1R
FSHB	RAMP2
FSHB	RAMP3
FSHB	TSHR
FSHB	VIPR1
FST	BMPR1B
FST	BMPR2
FST	HFE2
GAD1	GRM4
GALP	GALR1
GALP	GALR2
GALP	GALR3
GAL	ADRA2A
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAL	GPR151
GAL	GRM7
GAL	MTNR1A
GAS6	AXL
GAS6	MERTK
GAS6	TYRO3
GAST	CCKBR
GCG	ADCYAP1R1
GCG	ADRB2
GCG	ADRB3
GCG	GCGR
GCG	GLP1R
GCG	GLP2R
GCG	GPR20
GCG	GPR84
GCG	PTH1R
GCG	RAMP2
GCG	RAMP3
GCG	TSHR
GCG	VIPR1
GC	LRP2
GDF10	ACVR1B
GDF11	ACVR1B
GDF11	ACVR2A
GDF11	ACVR2B
GDF11	BMPR1A
GDF11	BMPR1B
GDF11	BMPR2
GDF1	ACVR1B
GDF1	ACVR2A
GDF1	ACVR2B
GDF1	SMAD3
GDF2	ACVR1
GDF2	ACVR2A
GDF2	ACVR2B
GDF2	ACVRL1
GDF2	BMPR2
GDF2	ENG
GDF5	ACVR1
GDF5	ACVR2A
GDF5	ACVR2B
GDF5	BMPR1A
GDF5	BMPR1B
GDF5	BMPR2
GDF5	ROR2
GDF6	BMPR1A
GDF6	BMPR1B
GDF6	BMPR2
GDF7	ACVR2A
GDF7	BMPR1A
GDF7	BMPR2
GDF9	ACVR2A
GDF9	BMPR1A
GDF9	BMPR1B
GDF9	BMPR2
GDF9	FXYD6
GDF9	ORAI2
GDF9	TGFBR1
GDNF	EDNRB
GDNF	GFRA1
GDNF	GFRA2
GDNF	GFRA3
GDNF	RET
GDNF	SLC44A5
GH1	GHR
GH1	PRLR
GH2	GHR
GHRH	ADCYAP1R1
GHRH	ADRB2
GHRH	ADRB3
GHRH	GHRHR
GHRH	GPR20
GHRH	GPR84
GHRH	PTH1R
GHRH	RAMP2
GHRH	RAMP3
GHRH	TSHR
GHRH	VIPR1
GHRL	GHRHR
GHRL	GHSR
GHRL	GPR39
GHRL	MLNR
GIP	ADCYAP1R1
GIP	ADRB2
GIP	ADRB3
GIP	DPP4
GIP	GIPR
GIP	GPR20
GIP	GPR84
GIP	INSR
GIP	PTH1R
GIP	RAMP2
GIP	RAMP3
GIP	TSHR
GIP	VIPR1
GNAI2	ADCY1
GNAI2	ADCY7
GNAI2	ADCY8
GNAI2	ADCY9
GNAI2	ADORA1
GNAI2	ADRA2A
GNAI2	ADRA2B
GNAI2	AGTR2
GNAI2	C5AR1
GNAI2	CAV1
GNAI2	CCR5
GNAI2	CHRM1
GNAI2	CNR1
GNAI2	CXCR1
GNAI2	CXCR2
GNAI2	CXCR3
GNAI2	DRD2
GNAI2	EDNRA
GNAI2	EDNRB
GNAI2	EGFR
GNAI2	F2R
GNAI2	FPR1
GNAI2	IGF1R
GNAI2	LHCGR
GNAI2	LPAR3
GNAI2	MTNR1A
GNAI2	MTNR1B
GNAI2	OPRD1
GNAI2	OPRM1
GNAI2	P2RY12
GNAI2	PTPRU
GNAI2	S1PR1
GNAI2	S1PR3
GNAI2	S1PR4
GNAI2	S1PR5
GNAI2	TBXA2R
GNAI2	TSHR
GNAI2	UNC5B
GNAS	ADCY1
GNAS	ADCY7
GNAS	ADCY8
GNAS	ADCY9
GNAS	ADORA1
GNAS	ADRB3
GNAS	AVPR2
GNAS	CRHR1
GNAS	GCGR
GNAS	GLP1R
GNAS	HTR6
GNAS	LHCGR
GNAS	PTGDR
GNAS	PTGIR
GNAS	TSHR
GNAS	VIPR1
GNB3	GABBR2
GNB3	TGFBR1
GNRH1	GNRHR
GNRH2	GNRHR
GPC3	CD81
GPC3	IGF1R
GPC3	LRP1
GPC3	LRP2
GPC6	LRP1
GPC6	LRP2
GPHA2	TSHR
GPI	AMFR
GREM1	KDR
GRP	BRS3
GRP	GRPR
GRP	NMBR
GSTP1	TRAF2
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GUCA2B	GUCY2D
GZMB	CHRM3
GZMB	IGF2R
GZMB	PGRMC1
HAS2	CD44
HAS2	HMMR
HBEGF	CD44
HBEGF	CD82
HBEGF	CD9
HBEGF	EGFR
HBEGF	ERBB2
HBEGF	ERBB4
HBEGF	PRLR
HCRT	HCRTR1
HCRT	HCRTR2
HCRT	NPFFR2
HDC	HRH1
HDC	HRH2
HDC	HRH3
HDC	HRH4
HEBP1	ADRA2A
HEBP1	FPR3
HEBP1	GRM7
HEBP1	MTNR1A
HGF	CD44
HGF	ITGB1
HGF	MET
HGF	SDC1
HGF	SDC2
HGF	ST14
HHIPL2	CACHD1
HHLA3	CHRM3
HLA-A	APLP2
HLA-A	CD3D
HLA-A	CD3G
HLA-A	ERBB2
HLA-A	KIR2DL1
HLA-A	KIR2DL3
HLA-A	KIR3DL1
HLA-A	KIR3DL2
HLA-A	LILRB1
HLA-A	LILRB2
HLA-B	CANX
HLA-B	CD3D
HLA-B	CD3G
HLA-B	KIR2DL3
HLA-B	KIR3DL1
HLA-B	KLRD1
HLA-B	LILRB1
HLA-B	LILRB2
HLA-C	CD3D
HLA-C	CD3G
HLA-C	DDR1
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HLA-C	KIR2DS4
HLA-C	KIR3DL1
HLA-C	LILRA3
HLA-C	LILRB1
HLA-C	LILRB2
HLA-C	NOTCH4
HLA-C	SLC9C2
HLA-E	KIR3DL1
HLA-E	KLRC1
HLA-E	KLRC2
HLA-E	KLRD1
HLA-E	SLC16A4
HLA-G	CD4
HLA-G	KIR2DL4
HLA-G	KLRC1
HLA-G	KLRD1
HLA-G	LILRB1
HLA-G	LILRB2
HMGB1	SDC1
HMGB1	THBD
HMGB1	TLR4
HPX	LRP1
HP	ASGR1
HP	ASGR2
HP	ITGAM
HP	ITGB2
HRAS	AGTR1
HRAS	CAV1
HRAS	GRIN2D
HRAS	INSR
HRAS	SDC2
HRAS	TLR2
HRAS	TLR9
HRG	FCGR1A
HSP90AA1	CFTR
HSP90AA1	EGFR
HSP90AA1	ERBB2
HSP90AA1	FGFR3
HSP90AA1	ITGB3
HSP90B1	ASGR1
HSP90B1	ERBB2
HSP90B1	LRP1
HSP90B1	TLR1
HSP90B1	TLR2
HSP90B1	TLR4
HSP90B1	TLR7
HSP90B1	TLR9
HSPA1A	GRIN2D
HSPA1A	TLR4
HSPA8	ADRB2
HSPA8	LDLR
HSPA8	LRP2
HSPG2	CHRM3
HSPG2	COL13A1
HSPG2	ITGA2
HSPG2	ITGB1
HSPG2	LRP1
HSPG2	LRP2
HSPG2	PTPRS
HSPG2	SDC1
IAPP	ADCYAP1R1
IAPP	ADRB2
IAPP	ADRB3
IAPP	CALCR
IAPP	GPR20
IAPP	GPR84
IAPP	PTH1R
IAPP	RAMP1
IAPP	RAMP2
IAPP	RAMP3
IAPP	TSHR
IAPP	VIPR1
IBSP	ITGAV
IBSP	ITGB3
ICAM1	CAV1
ICAM1	EGFR
ICAM1	IL2RA
ICAM1	IL2RG
ICAM1	ITGAL
ICAM1	ITGAM
ICAM1	ITGAX
ICAM1	ITGB2
ICAM2	ITGAL
ICAM2	ITGAM
ICAM2	ITGB2
ICAM3	CLEC4M
ICAM3	ITGAD
ICAM3	ITGAL
ICAM3	ITGB2
ICAM4	ITGA2B
ICAM4	ITGA4
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB1
ICAM4	ITGB2
ICAM4	ITGB3
ICAM4	RHAG
ICAM5	ITGAL
ICAM5	ITGB2
ICOSLG	ICOS
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNE	IFNAR1
IFNE	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
IFNL1	IFNLR1
IFNL1	IL10RB
IFNL2	IFNLR1
IFNL2	IL10RB
IFNL3	IFNLR1
IFNL3	IL10RB
IFNW1	IFNAR1
IFNW1	IFNAR2
IGF1	IGF1R
IGF1	IGF2R
IGF1	INSR
IGF2	IGF1R
IGF2	IGF2R
IGF2	INSR
IGFBP4	FZD8
IGFBP4	LRP6
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IHH	BOC
IHH	CDON
IHH	HHIP
IHH	PTCH1
IHH	PTCH2
IL10	IL10RA
IL10	IL10RB
IL10	SIRPG
IL11	IL11RA
IL11	IL6ST
IL12A	CD28
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL12B	IL23R
IL13	IL13RA1
IL13	IL13RA2
IL13	IL4R
IL15	IL15RA
IL15	IL2RA
IL15	IL2RB
IL15	IL2RG
IL16	CCR5
IL16	CD4
IL16	GRIN2C
IL16	GRIN2D
IL16	KCNA3
IL16	KCND1
IL16	KCND2
IL16	KCNJ10
IL16	KCNJ15
IL16	KCNJ4
IL17A	IL17RA
IL17A	IL17RC
IL17B	IL17RB
IL17C	IL17RE
IL17F	IL17RA
IL17F	IL17RC
IL18	CD48
IL18	IL18BP
IL18	IL18R1
IL18	IL18RAP
IL18	IL1RAPL1
IL18	IL1RL2
IL19	IL20RA
IL19	IL20RB
IL1A	IL1R1
IL1A	IL1R2
IL1A	IL1RAP
IL1B	ADRB2
IL1B	IL1R1
IL1B	IL1R2
IL1B	IL1RAP
IL1F10	IL1R1
IL1F10	IL1RL2
IL1RN	IL1R1
IL1RN	IL1R2
IL1RN	IL1RL2
IL20	IL20RA
IL20	IL20RB
IL20	IL22RA1
IL21	IL21R
IL21	IL2RG
IL22	IL10RA
IL22	IL10RB
IL22	IL21R
IL22	IL22RA1
IL22	IL22RA2
IL23A	IL12RB1
IL23A	IL12RB2
IL23A	IL23R
IL24	IL10RB
IL24	IL20RA
IL24	IL20RB
IL24	IL22RA1
IL25	IL17RB
IL26	IL10RB
IL26	IL20RA
IL27	IL27RA
IL2	CD53
IL2	GYPE
IL2	IL2RA
IL2	IL2RB
IL2	IL2RG
IL2	NGFR
IL31	IL31RA
IL31	OSMR
IL33	IL1RL1
IL34	CSF1R
IL36A	IL1RL2
IL36A	IL36RN
IL36B	IL1RL2
IL36B	IL36RN
IL36G	IL1RL2
IL36G	IL36RN
IL3	CSF2RB
IL3	IL3RA
IL4	CD53
IL4	IL13RA1
IL4	IL13RA2
IL4	IL2RG
IL4	IL4R
IL5	CSF2RB
IL5	IL5RA
IL6	F3
IL6	IL6R
IL6	IL6ST
IL7	IL2RG
IL7	IL7R
IL8	CD79A
IL8	CXCR1
IL8	CXCR2
IL8	ACKR1
IL8	KDR
IL8	SDC1
IL8	SDC2
IL8	SDC3
IL9	IL2RG
IL9	IL9R
INHA	ACVR2A
INHA	ACVR2B
INHA	ACVR1
INHA	TGFBR3
INHBA	ACVR1
INHBA	ACVR1B
INHBA	ACVR2A
INHBA	ACVR2B
INHBA	BAMBI
INHBA	ENG
INHBA	SMAD3
INHBA	TGFBR3
INHBB	ACVR1
INHBB	ACVR1B
INHBB	ACVR1C
INHBB	ACVR2A
INHBB	ACVR2B
INHBB	SMAD3
INHBC	ACVR1
INHBC	ACVR1B
INHBC	ACVR2A
INHBC	ACVR2B
INHBE	ACVR2B
INHBE	ACVR2B
INHBE	ACVR2B
INHBE	ACVR2B
INSL3	ADCYAP1R1
INSL3	ADRB2
INSL3	ADRB3
INSL3	GPR20
INSL3	GPR84
INSL3	PTH1R
INSL3	RAMP2
INSL3	RAMP3
INSL3	RXFP2
INSL3	TSHR
INSL3	VIPR1
INSL5	ADRA2A
INSL5	GRM7
INSL5	MTNR1A
INSL5	RXFP3
INSL5	RXFP4
INS	IGF1R
INS	INSR
INS	LRP2
IRAK4	TLR4
IRAK4	TLR6
IRAK4	TLR7
ITGB3BP	ITGB3
ITGB3BP	ITGB5
ITIH2	FCER1A
JAG1	NOTCH1
JAG1	NOTCH2
JAG1	NOTCH3
JAG1	NOTCH4
JAG2	NOTCH1
JAG2	NOTCH2
JAG2	NOTCH3
JAG2	NOTCH4
JAM3	ITGB1
JAM3	ITGB2
KISS1	KISS1R
KISS1	MMP24
KITLG	EPOR
KITLG	KIT
KLK3	EPOR
KNG1	ADRA2A
KNG1	BDKRB1
KNG1	BDKRB2
KNG1	CD93
KNG1	GP1BA
KNG1	GPR135
KNG1	GRM7
KNG1	ITGAM
KNG1	ITGB2
KNG1	MTNR1A
KNG1	PLAUR
KNG1	RXFP4
KNG1	SDC2
KRTAP4-12	AQP1
KRTAP4-12	CATSPER1
KRTAP4-12	CLDN2
KRTAP4-12	CNTFR
KRTAP4-12	LINGO1
KRTAP4-12	PDGFRB
KRTAP4-12	PLSCR4
L1CAM	CNTN1
L1CAM	EGFR
L1CAM	EPHB2
L1CAM	ERBB2
L1CAM	ERBB3
L1CAM	FGFR2
L1CAM	ITGA5
L1CAM	ITGAV
LACRT	SDC1
LAMA1	GPC1
LAMA1	ITGA1
LAMA1	ITGA2
LAMA1	ITGA3
LAMA1	ITGA6
LAMA1	ITGA7
LAMA1	ITGB1
LAMA1	ITGB4
LAMA1	ITGB8
LAMA1	NT5E
LAMA1	RPSA
LAMA1	SDC2
LAMA1	SDC4
LAMA1	TMPRSS6
LAMA2	ITGA1
LAMA2	ITGA2
LAMA2	ITGA3
LAMA2	ITGA6
LAMA2	ITGA7
LAMA2	ITGB1
LAMA2	ITGB4
LAMA2	RPSA
LAMA3	ITGA3
LAMA3	ITGB1
LAMA3	ITGB4
LAMA3	SDC2
LAMA4	ITGA3
LAMA4	ITGA6
LAMA4	ITGAV
LAMA4	ITGB1
LAMA5	BCAM
LAMA5	ITGA2
LAMA5	ITGA3
LAMA5	ITGA6
LAMA5	ITGB1
LAMA5	ITGB4
LAMA5	SDC1
LAMB1	ITGA1
LAMB1	ITGA2
LAMB1	ITGA3
LAMB1	ITGA6
LAMB1	ITGA7
LAMB1	ITGAV
LAMB1	ITGB1
LAMB1	ITGB4
LAMB2	ITGA3
LAMB2	ITGB1
LAMB2	ITGB4
LAMB2	RPSA
LAMB3	CD151
LAMB3	COL17A1
LAMB3	ITGA2
LAMB3	ITGA3
LAMB3	ITGA6
LAMB3	ITGB1
LAMB3	ITGB4
LAMC1	ITGA1
LAMC1	ITGA2
LAMC1	ITGA3
LAMC1	ITGA6
LAMC1	ITGA7
LAMC1	ITGAV
LAMC1	ITGB1
LAMC1	ITGB4
LAMC2	CD151
LAMC2	COL17A1
LAMC2	ITGA2
LAMC2	ITGA3
LAMC2	ITGA6
LAMC2	ITGB1
LAMC2	ITGB4
LAMC3	ITGA2
LAMC3	ITGA3
LAMC3	ITGA6
LAMC3	ITGB1
LAMC3	ITGB4
LCN1	LMBR1L
LCN2	LRP2
LEFTY1	ACVR1B
LEFTY1	ACVR2A
LEFTY1	ACVR2B
LEFTY2	ACVR1B
LEFTY2	ACVR2A
LEFTY2	ACVR2B
LEP	LEPR
LEP	LRP2
LGALS1	CD69
LGALS3BP	ITGB1
LGALS3BP	VANGL1
LGALS9	HAVCR2
LHB	ADCYAP1R1
LHB	ADRB2
LHB	ADRB3
LHB	GPR20
LHB	GPR84
LHB	LHCGR
LHB	PTH1R
LHB	RAMP2
LHB	RAMP3
LHB	TSHR
LHB	VIPR1
LIF	IL6ST
LIF	LIFR
LIN7C	ABCA1
LIN7C	HTR2C
LIN7C	KCNJ4
LIPC	LRP1
LIPH	LPAR1
LIPH	LPAR2
LIPH	LPAR4
LPA	ITGAM
LPA	ITGB2
LPA	LRP2
LPL	CD44
LPL	GPIHBP1
LPL	LRP1
LPL	LRP2
LPL	SDC1
LPL	VLDLR
LRP1B	PLAUR
LRPAP1	LDLR
LRPAP1	LRP1
LRPAP1	LRP2
LRPAP1	LRP8
LRPAP1	SORL1
LRPAP1	SORT1
LRPAP1	VLDLR
LTA	CACHD1
LTA	EDNRA
LTA	LTBR
LTA	TNFRSF14
LTA	TNFRSF1A
LTA	TNFRSF1B
LTBP1	ITGB5
LTBP3	ITGB5
LTB	CD40
LTB	LTBR
LTB	TNFRSF1A
LTF	GP9
LTF	GPR162
LTF	LRP1
LTF	LRP11
LTF	TFRC
LUM	ITGB1
LY6G5C	TMEM8A
LY86	CD180
LYPD3	AGR2
LYZ	ITGAL
MADCAM1	CD44
MADCAM1	ITGA4
MADCAM1	ITGB7
MAPK1	FGFR2
MATN1	ITGA1
MATN1	ITGB1
MATN1	PTPRD
MBL2	CALCR
MBL2	CD93
MDK	ALK
MDK	GPC2
MDK	ITGA4
MDK	ITGA6
MDK	ITGB1
MDK	LRP1
MDK	LRP2
MDK	PTPRZ1
MDK	SDC1
MDK	SDC3
MDK	SDC4
MDK	TSPAN1
MEPE	PHEX
MFAP2	NOTCH1
MFAP5	NOTCH1
MFGE8	ITGAV
MFGE8	ITGB3
MFGE8	PDGFRB
MFI2	TFRC
MFNG	NOTCH1
MFNG	NOTCH2
MIA	CDH19
MIA	CDH7
MLLT4	EPHA7
MLLT4	EPHB2
MLLT4	EPHB3
MLLT4	EPHB6
MLLT4	F11R
MLLT4	NECTIN3
MLLT4	NECTIN4
MLLT4	NRXN2
MLLT4	NRXN3
MLLT4	NECTIN1
MLLT4	PVRL2
MLN	MLNR
MMP12	PLAUR
MMP13	LRP1
MMP1	CD44
MMP1	ITGA2
MMP2	SDC2
MMP7	CD151
MMP7	CD44
MMP7	CDH6
MMP7	ERBB4
MMP9	CD44
MMP9	EPHB2
MMP9	ITGAM
MMP9	ITGB2
MMP9	LRP1
MST1	MST1R
MSTN	ACVR2B
MT-RNR2	ADRA2A
MT-RNR2	GRM7
MT-RNR2	MTNR1A
MTMR4	SMAD3
MUC2	AGR2
MUC7	SELL
MYOC	FZD1
MYOC	FZD10
MYOC	FZD3
MYOC	FZD4
MYOC	FZD7
NAMPT	INSR
NCAM1	CACNA1C
NCAM1	FGFR1
NCAM1	FGFR2
NCAM1	GFRA1
NCAM1	PTPRA
NCAM1	ROBO1
NCAM1	ROBO3
NCAN	CDH2
NCAN	SDC3
NDP	FZD4
NDP	LGR4
NECTIN2	CD226
NECTIN2	PVRIG
NECTIN3	TIGIT
NGF	KIDINS220
NGF	MAGED1
NGF	NGFR
NGF	NGFRAP1
NGF	NTRK1
NGF	SORCS3
NGF	SORT1
NID1	COL13A1
NID1	ITGA3
NID1	ITGAV
NID1	ITGB1
NID1	ITGB3
NID1	PTPRF
NID2	COL13A1
NLGN1	NRXN1
NLGN1	NRXN2
NLGN1	NRXN3
NLGN2	NRXN1
NLGN2	NRXN2
NLGN2	NRXN3
NLGN3	NRXN1
NLGN3	NRXN2
NLGN3	NRXN3
NMB	BRS3
NMB	GRPR
NMB	NMBR
NMS	ADRA2A
NMS	GRM7
NMS	MTNR1A
NMS	NMUR1
NMS	NMUR2
NMU	ADRA2A
NMU	GRM7
NMU	MTNR1A
NMU	NMUR1
NMU	NMUR2
NODAL	ACVR1B
NODAL	ACVR1C
NODAL	ACVR2A
NODAL	ACVR2B
NODAL	SMAD3
NOV	NOTCH1
NOV	PLXNA1
NPB	ADRA2A
NPB	GRM7
NPB	MTNR1A
NPB	NPBWR1
NPB	NPBWR2
NPFF	NPFFR1
NPFF	NPFFR2
NPNT	ITGA8
NPNT	ITGB1
NPPA	NPR1
NPPA	NPR3
NPPB	NPR1
NPPB	NPR2
NPPB	NPR3
NPPC	NPR2
NPPC	NPR3
NPS	ADCYAP1R1
NPS	ADRB2
NPS	ADRB3
NPS	GPR20
NPS	GPR84
NPS	NPSR1
NPS	PTH1R
NPS	RAMP2
NPS	RAMP3
NPS	TSHR
NPS	VIPR1
NPVF	NPFFR1
NPVF	NPFFR2
NPW	ADRA2A
NPW	GRM7
NPW	MTNR1A
NPW	NPBWR1
NPW	NPBWR2
NPY	ADRA2A
NPY	FAP
NPY	GRM7
NPY	MC4R
NPY	MTNR1A
NPY	NPFFR2
NPY	NPY1R
NPY	NPY2R
NPY	NPY4R
NPY	NPY5R
NPY	PRLHR
NRG1	ERBB2
NRG1	ERBB3
NRG1	ERBB4
NRG1	GPC1
NRG2	ERBB2
NRG2	ERBB3
NRG2	ERBB4
NRG3	ERBB2
NRG3	ERBB3
NRG3	ERBB4
NRG4	EGFR
NRG4	ERBB2
NRG4	ERBB4
NRTN	GFRA1
NRTN	GFRA2
NRTN	GFRA3
NRTN	RET
NTF3	NGFR
NTF3	NTRK1
NTF3	NTRK2
NTF3	NTRK3
NTF4	NGFR
NTF4	NGFRAP1
NTF4	NTRK1
NTF4	NTRK2
NTN1	ADORA2B
NTN1	DCC
NTN1	NEO1
NTN1	UNC5A
NTN1	UNC5B
NTN1	UNC5C
NTN1	UNC5D
NTN3	CDON
NTN3	NEO1
NTN4	DCC
NTN4	UNC5A
NTNG1	LRRC4C
NTNG2	LRRC4
NTNG2	LRRC4C
NTS	NGFR
NTS	NTSR1
NTS	NTSR2
NTS	SORT1
NUCB2	ERAP1
NXPH1	NRXN1
NXPH1	NRXN2
NXPH1	NRXN3
NXPH2	NRXN1
NXPH3	NRXN1
NXPH3	NRXN2
NXPH3	NRXN3
OBP2A	OR1G1
OLAH	MOG
OLFM2	ROBO2
OMG	LINGO1
OMG	NGFR
OMG	RTN4R
OMG	RTN4RL1
OMG	TNFRSF1B
ORM1	CCR5
OSM	IL6ST
OSM	LIFR
OSM	OSMR
OSTN	NPR3
OXT	AVPR1A
OXT	AVPR1B
OXT	AVPR2
OXT	OXTR
P4HB	GPR162
P4HB	MTTP
PAPLN	NECTIN4
PAPLN	SIRPA
PCSK9	LDLR
PCSK9	VLDLR
PDAP1	PDGFRB
PDCD1LG2	PDCD2
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFB	ART1
PDGFB	ITGAV
PDGFB	LRP1
PDGFB	PDGFRA
PDGFB	PDGFRB
PDGFB	S1PR1
PDGFC	FLT1
PDGFC	FLT4
PDGFC	KDR
PDGFC	PDGFRA
PDGFC	PDGFRB
PDGFD	PDGFRA
PDGFD	PDGFRB
PDX1	SLC2A2
PDYN	ADRA2A
PDYN	GRM7
PDYN	MTNR1A
PDYN	OPRD1
PDYN	OPRK1
PDYN	OPRM1
PENK	ADRA2A
PENK	GRM7
PENK	MRGPRX1
PENK	MTNR1A
PENK	OGFR
PENK	OPRD1
PENK	OPRK1
PENK	OPRM1
PF4	ADRA2A
PF4	CXCR3
PF4	FGFR2
PF4	GRM7
PF4	LDLR
PF4	MTNR1A
PF4	PROCR
PF4	SDC2
PF4	THBD
PGF	FLT1
PGF	NRP1
PGF	NRP2
PI3	PLD2
PIGF	FLT1
PIK3CD-AS1	LY6G6C
PIK3CD-AS1	SLC16A4
PIP	CD4
PIP	NPTN
PKM	CD44
PLA2G10	PLA2R1
PLAT	ITGAM
PLAT	ITGB2
PLAT	LRP1
PLAU	IGF2R
PLAU	ITGA3
PLAU	ITGA5
PLAU	ITGAM
PLAU	ITGAV
PLAU	ITGB1
PLAU	ITGB2
PLAU	ITGB5
PLAU	LRP1
PLAU	LRP2
PLAU	MRC2
PLAU	PLAUR
PLAU	ST14
PLAU	VLDLR
PLG	F2R
PLG	F2RL1
PLG	F3
PLG	FLT1
PLG	ITGA9
PLG	ITGAM
PLG	ITGB1
PLG	ITGB2
PLG	PLAUR
PLG	PLGRKT
PLTP	ABCA1
SEMA4A	PLXNB1
SEMA4A	PLXNB2
SEMA4A	PLXNB3
SEMA4A	PLXND1
PMCH	ADRA2A
PMCH	GRM7
PMCH	MCHR1
PMCH	MCHR2
PMCH	MTNR1A
PNOC	ADRA2A
PNOC	GRM7
PNOC	MTNR1A
PNOC	OPRL1
PODXL2	SELL
PODXL	SELL
POMC	ADCYAP1R1
POMC	ADRA2A
POMC	ADRB2
POMC	ADRB3
POMC	GPR20
POMC	GPR84
POMC	GRM7
POMC	MC1R
POMC	MC2R
POMC	MC3R
POMC	MC4R
POMC	MC5R
POMC	MTNR1A
POMC	OPRD1
POMC	OPRK1
POMC	OPRM1
POMC	PTH1R
POMC	RAMP2
POMC	RAMP3
POMC	TSHR
POMC	VIPR1
PON2	HTR2A
PPBP	ACKR1
PPBP	ADRA2A
PPBP	CXCR1
PPBP	CXCR2
PPBP	GRM7
PPBP	MTNR1A
PPY	ADRA2A
PPY	GRM7
PPY	MTNR1A
PPY	NPY1R
PPY	NPY2R
PPY	NPY4R
PPY	NPY5R
PRLH	PRLHR
PRL	PRLR
PRND	RPSA
PROC	ITGAM
PROC	ITGB2
PROC	PROCR
PROC	THBD
PROK1	PROKR1
PROK1	PROKR2
PROK2	PROKR1
PROK2	PROKR2
PROS1	AXL
PROS1	TYRO3
PRSS23	TMEM222
PSAP	CD1B
PSAP	CELSR1
PSAP	GPR37
PSAP	GPR37L1
PSAP	LRP1
PSAP	SORT1
PSEN1	CD44
PSEN1	NCSTN
PSEN1	NOTCH1
PSEN1	NOTCH2
PSEN1	NOTCH3
PSEN1	NOTCH4
PSPN	GFRA1
PSPN	GFRA2
PSPN	GFRA3
PSPN	GFRA4
PSPN	RET
PSPN	SDC3
PTDSS1	JMJD6
PTDSS1	SCARB1
PTGS2	ALOX5
PTGS2	CAV1
PTGS2	PTGDR2
PTH2	ADCYAP1R1
PTH2	ADRB2
PTH2	ADRB3
PTH2	GPR20
PTH2	GPR84
PTH2	PTH1R
PTH2	PTH2R
PTH2	RAMP2
PTH2	RAMP3
PTH2	TSHR
PTH2	VIPR1
PTHLH	ADCYAP1R1
PTHLH	ADRB2
PTHLH	ADRB3
PTHLH	GPR20
PTHLH	GPR84
PTHLH	PRLHR
PTHLH	PTH1R
PTHLH	PTH2R
PTHLH	RAMP2
PTHLH	RAMP3
PTHLH	TSHR
PTHLH	VIPR1
PTH	ADCYAP1R1
PTH	ADRB2
PTH	ADRB3
PTH	GPR20
PTH	GPR84
PTH	PTH1R
PTH	PTH2R
PTH	RAMP2
PTH	RAMP3
PTH	TSHR
PTH	VIPR1
PTMA	VIPR1
PTN	ALK
PTN	CDH10
PTN	PLXNB2
PTN	PTPRS
PTN	PTPRZ1
PTN	SDC1
PTN	SDC3
PVR	CD226
PVR	CD96
PVR	TIGIT
PYY	ADRA2A
PYY	FAP
PYY	GRM7
PYY	MTNR1A
PYY	NPY1R
PYY	NPY2R
PYY	NPY4R
PYY	NPY5R
QDPR	DYSF
QRFP	P2RY14
QRFP	QRFPR
RAET1E	KLRK1
RARRES2	CCRL2
RARRES2	CMKLR1
RARRES2	GPR1
RBP3	NOTCH1
RBP4	STRA6
RELN	ITGA3
RELN	ITGB1
RELN	LRP8
RELN	VLDLR
REN	ASIC3
REN	ATP6AP2
RGMA	BMPR1B
RGMA	BMPR2
RGMA	HFE2
RGMA	NEO1
RGMB	BMPR1B
RGMB	BMPR2
RGMB	HFE2
RGMB	NEO1
RIMS1	CACNA1C
RIMS1	SLC17A7
RIMS1	SLC18A2
RIMS1	SLC18A3
RIMS2	ABCA1
RLN1	RXFP1
RLN1	RXFP2
RLN2	ADCYAP1R1
