"lr.cell.name","lr.gene.name","obs.xy.diff","null.diff.sd","pvalue","stage","adj.p","Welch.t.stat","Welch.t.sd","Welch.t.p","adj.t.p","limma.Lg.p","limma.Rg.p","limma.Lg.logFC","limma.Rg.logFC","adj.limma.Lg.p","adj.limma.Rg.p"
"T cells-Macrophages","CALM3-SELL",32.6001,5.6791,0.000001324196,2,0.000037585285,7.2461,4.499,0.000845,0.042272423184,0.015145997327,0.001272283882,0.5783,4.3866,0.224442977482,0.056693929221
"T cells-Macrophages","CALR-SCARF1",10.6676,2.1709,0.000246862968,2,0.00426550152,5.8706,1.8171,0.002515,0.075828943603,0.300821138712,0.002293913347,0.3601,1.1781,0.793068446454,0.079990335034
"T cells-Macrophages","CCL2-CCR1",35.4445,8.6556,0.000274912675,2,0.004684632305,4.5873,7.7266,0.01705,0.184626177382,0.015981097267,0.000074521777,4.1432,3.4919,0.230437833487,0.010241478298
"T cells-Macrophages","CCL2-CCR2",18.3317,4.1921,0.000170471055,2,0.003074573373,5.7209,3.2043,0.003232,0.085050516058,0.015981097267,0.00027776453,4.1432,3.1207,0.230437833487,0.023173304744
"T cells-Macrophages","CCL2-CCR5",21.1772,4.8611,0.000238979665,2,0.004139271093,5.228,4.0507,0.003389,0.086831610157,0.015981097267,0.00015498814,4.1432,3.4105,0.230437833487,0.016101526324
"T cells-Macrophages","CCL3-CCR5",21.7227,4.4728,0.000157465994,2,0.002874757614,3.8873,5.5881,0.070962,0.302226600465,0.555419318855,0.00015498814,0.6366,3.4105,0.901706714664,0.016101526324
"T cells-Macrophages","CCL4-CCR1",33.5155,6.3035,0.000023694805,2,0.000522935441,3.5517,9.4364,0.089873,0.310220775465,0.868532827567,0.000074521777,0.1261,3.4919,0.942742422847,0.010241478298
"T cells-Macrophages","CCL4-CCR5",31.968,4.8639,0.000000008857,2,0.000000344836,4.1874,7.6343,0.117817,0.342888453667,0.868532827567,0.00015498814,0.1261,3.4105,0.942742422847,0.016101526324
"T cells-Macrophages","CCL5-CCR1",38.0988,4.7619,0.000000000005,2,0.000000000271,5.0707,7.5136,0.099302,0.321087361888,0.640186953513,0.000074521777,-0.1629,3.4919,0.907207551813,0.010241478298
"T cells-Macrophages","CCL5-CCR5",37.8075,4.8616,0.000000000012,2,0.000000000629,4.4095,8.5742,0.115477,0.339510262147,0.640186953513,0.00015498814,-0.1629,3.4105,0.907207551813,0.016101526324
"T cells-Macrophages","CCL8-CCR1",24.2237,5.2409,0.000119781304,2,0.002270077528,5.8063,4.172,0.004377,0.097605103298,0.00657559074,0.000074521777,3.1001,3.4919,0.14464160133,0.010241478298
"T cells-Macrophages","CCL8-CCR2",11.2979,2.5149,0.000260325572,2,0.004472231014,5.2091,2.1689,0.006476,0.12163809334,0.00657559074,0.00027776453,3.1001,3.1207,0.14464160133,0.023173304744
"T cells-Macrophages","CCL8-CCR5",13.3419,2.8946,0.000660226445,2,0.009849500639,6.2655,2.1294,0.003311,0.085779123644,0.00657559074,0.00015498814,3.1001,3.4105,0.14464160133,0.016101526324
"T cells-Macrophages","CXCL3-CXCR2",-8.4248,1.034,0,2,0,-2.8706,2.9348,0.210699,0.426401922768,0.00023152427,0.006558816477,-2.7673,-1.8532,0.0205947497,0.144554107868
"T cells-Macrophages","DUSP18-ITGA7",5.5861,1.2316,0.000055264534,2,0.00112986321,5.2581,1.0624,0.003516,0.087885278437,0.235383335895,0.003425357516,0.4471,1.5296,0.70614780794,0.101159065865
"T cells-Macrophages","F8-ASGR2",8.3206,1.4746,0.00000459746,2,0.000118557538,8.4409,0.9857,0.0004,0.028456992095,0.54095486961,0.00058435683,-0.147,3.3757,0.901706714664,0.035499634083
"T cells-Macrophages","FASLG-FAS",12.6093,2.3962,0.000022455549,2,0.000497732246,3.0489,4.1357,0.189267,0.413794275269,0.406212733643,0.000613661577,-0.2521,2.5632,0.862925224164,0.036568703044
"T cells-Macrophages","GNAI2-ADORA1",-13.9674,3.1135,0.000534271806,2,0.00822039597,-4.3634,3.201,0.041736,0.237518554814,0.72645636391,0.003319135096,-0.1703,-1.9851,0.918338888655,0.099752016345
"T cells-Macrophages","GNAI2-CCR5",23.09,3.2953,0.000000003375,2,0.000000138001,4.4603,5.1768,0.108077,0.330477212139,0.72645636391,0.00015498814,-0.1703,3.4105,0.918338888655,0.016101526324
"T cells-Macrophages","GNAI2-EDNRB",25.173,5.3444,0.000181959966,2,0.003252307396,7.4226,3.3914,0.001367,0.053945226623,0.72645636391,0.002093679502,-0.1703,3.6986,0.918338888655,0.076115561211
"T cells-Macrophages","GNAI2-S1PR1",13.7953,2.1518,0.000000055752,2,0.000001971353,10.9883,1.2555,0.000367,0.027160274793,0.72645636391,0.000377316015,-0.1703,2.0364,0.918338888655,0.027038697771
"T cells-Macrophages","GNAS-ADORA1",-14.9119,3.2632,0.000203373052,2,0.0035955673,-4.5993,3.2422,0.034993,0.219680667834,0.416229372185,0.003319135096,-0.2111,-1.9851,0.869081512554,0.099752016345
"T cells-Macrophages","GNAS-PTGIR",14.8997,2.3852,0.000000084933,2,0.000002908427,8.8251,1.6883,0.000438,0.029997556405,0.416229372185,0.000589910649,-0.2111,2.0574,0.869081512554,0.035700302217
"T cells-Macrophages","GZMB-CHRM3",-26.6485,4.308,0.000015046639,2,0.000348612912,-3.6683,7.2646,0.162174,0.396973314153,0.011350035304,0.000186370923,2.2497,-3.349,0.191317737159,0.018081923893
"T cells-Macrophages","HBEGF-CD44",-17.3536,2.7983,0.000000614579,2,0.000018436855,-3.8035,4.5625,0.124081,0.350645741313,0.000623132435,0.947977183649,-2.0373,-0.0209,0.036995678179,0.975438344718
"T cells-Macrophages","HBEGF-CD82",-10.7428,2.1669,0.000158180582,2,0.002886332281,-2.1221,5.0624,0.259743,0.472582644232,0.000623132435,0.318548230095,-2.0373,0.5444,0.036995678179,0.814626188249
"T cells-Macrophages","HBEGF-CD9",-21.7291,2.9365,0.000000000789,2,0.00000003489,-5.9962,3.6238,0.057639,0.27839419377,0.000623132435,0.019140181675,-2.0373,-3.0425,0.036995678179,0.25377694242
"T cells-Macrophages","HLA-A-LILRB1",20.8655,4.6825,0.000134804284,2,0.002510948855,4.6853,4.4534,0.005778,0.113962376995,0.768603224943,0.003532500109,0.0677,1.7578,0.922175872339,0.10251411318
"T cells-Macrophages","HLA-A-LILRB2",42.2489,6.434,0.00000033703,2,0.000010645729,3.321,12.7216,0.170452,0.407544235231,0.768603224943,0.000487153195,0.0677,3.6187,0.922175872339,0.031682549845
"T cells-Macrophages","HLA-B-LILRB2",39.6107,7.8276,0.00002559865,2,0.000562526408,2.6767,14.7985,0.199476,0.419073057471,0.366517736757,0.000487153195,-0.5834,3.6187,0.845236258936,0.031682549845
"T cells-Macrophages","HLA-C-LILRB2",39.8859,6.4508,0.000001143665,2,0.000032798188,3.47,11.4946,0.162929,0.397931126806,0.210696153757,0.000487153195,-0.332,3.6187,0.674180421292,0.031682549845
"T cells-Macrophages","HLA-G-LILRB2",12.4898,2.8619,0.00031272951,2,0.005234419775,4.247,2.9409,0.02478,0.195216700308,0.6823025244,0.000487153195,0.1421,3.6187,0.912758510795,0.031682549845
"T cells-Macrophages","HSP90B1-TLR1",11.1838,2.6701,0.000499244561,2,0.007746077697,2.5898,4.3183,0.181841,0.412503585835,0.651268632538,0.002805229703,-0.098,1.4485,0.909039873268,0.090471477239
"T cells-Macrophages","HSP90B1-TLR2",25.0569,4.5041,0.000000017602,2,0.000000660195,5.7828,4.333,0.023043,0.191769799489,0.651268632538,0.000788538528,-0.098,3.19,0.909039873268,0.042761308368
"T cells-Macrophages","ICAM1-IL2RA",11.8928,1.9063,0.000000096402,2,0.000003276113,12.4392,0.9561,0.000075,0.012915504808,0.411661645537,0.000027609549,-0.4377,3.4579,0.86575119788,0.005520146637
"T cells-Macrophages","IL15-IL2RA",8.8252,1.0689,0,2,0,10.7817,0.8185,0.000276,0.022831510393,0.422117778156,0.000027609549,-0.199,3.4579,0.874051608658,0.005520146637
"T cells-Macrophages","IL16-CCR5",22.3029,3.2066,0.000000001022,2,0.000000044588,4.1827,5.3322,0.098801,0.320454383522,0.845234696514,0.00015498814,0.0891,3.4105,0.935135358975,0.016101526324
"T cells-Macrophages","IL16-KCNJ15",20.5031,3.2178,0.000000015115,2,0.0000005705,7.4574,2.7494,0.001975,0.066916097928,0.845234696514,0.000347369243,0.0891,3.1385,0.935135358975,0.025793211594
"T cells-Macrophages","IL7-IL2RG",8.4757,1.0463,0,2,0,22.1993,0.3818,0.000024,0.009049010526,0.000108514288,0.287696072747,2.1865,-0.3342,0.012924511432,0.775757414486
"T cells-Macrophages","IL7-IL7R",15.1111,1.6107,0,2,0,14.1717,1.0663,0.000143,0.016960652318,0.000108514288,0.007344213953,2.1865,1.1172,0.012924511432,0.150807224242
"T cells-Macrophages","INHBA-ACVR1",-11.4623,1.647,0.000000001116,2,0.000000048512,-7.163,1.6002,0.013495,0.17229117712,0.000112961695,0.00066359492,-5.2968,0.7037,0.013241689632,0.038094087822
"T cells-Macrophages","INHBA-ACVR1B",-16.2426,2.219,0.000000000048,2,0.000000002371,-12.2474,1.3262,0.000255,0.021956358173,0.000112961695,0.013047068525,-5.2968,0.7174,0.013241689632,0.206728634593
"T cells-Macrophages","INHBA-ACVR2A",-6.1116,1.1217,0.000013541541,2,0.000316608653,-8.6958,0.7028,0.004593,0.099964029021,0.000112961695,0.763099621988,-5.2968,-0.0935,0.013241689632,0.921368680074
"T cells-Macrophages","INHBA-ACVR2B",-8.0105,1.0811,0.000000023459,2,0.000000869853,-3.1796,2.5193,0.182913,0.412639537634,0.000112961695,0.113727630273,-5.2968,-0.4991,0.013241689632,0.53439181178
"T cells-Macrophages","INHBA-ENG",-33.2302,4.1366,0,2,0,-9.3904,3.5387,0.002613,0.076713091728,0.000112961695,0.197290075347,-5.2968,0.554,0.013241689632,0.66111837632
"T cells-Macrophages","IRAK4-TLR4",8.4063,1.6479,0.000030151139,2,0.000652226116,5.1722,1.6253,0.083889,0.304888392433,0.017308091535,0.00641666417,0.5668,0.9709,0.241142876518,0.142670465306
